Survey Sheet Name,Ecosystem,Substrate,Organization,Location,URL,Trash Survey,Organization ,Average Comparability Items (Proportion),Average Comparability Materials (Proportion)
5 Gyres Plastic Beach Microplastic Protocol,Marine,Unknown,Research,Global,,Y,5gyres plastic beach microplastics protocol,0.07,0.27
AAAS Water Diplomacy Symposium List,Marine,Unknown,Research,Global,,Y,aaas water diplomacy symposium list,0.45,0.56
Abandoned and Derelict Vessels,Multiple,Unknown,Research,Global,,N,abandoned and derelict vessels,0,0.17
Bald Head Island Conservancy,Marine,Unknown,Non-profit,US,,Y,baldhead island conservancy,0.45,0.56
Blue Ocean Society for Marine Conservation,Marine,Unknown,Non-profit,US,,Y,blue ocean society for marine conservation,0.27,0.45
Clean Ocean Access,Marine,Unknown,Non-profit,US,,Y,clean ocean access,0.34,0.01
Cordeiro,Marine,Sediment,Research,Brazil,https://paperpile.com/shared/qlwaO6,Y,cordeiro,0.06,0.04
Corpus Christi Storm Water Runoff,Multiple,Unknown,Government,US,,Y,corpus christi storm water runoff,0.45,0.56
CRESSIDA List- English,Unknown,Unknown,Unknown,UK,,Y,cressida list english,0.02,0
Debris Items of Local Concern,Multiple,Unknown,Research,Global,,N,debris items of local concern,0.06,0
Deciduous Trees,Multiple,Unknown,Research,Global,,N,deciduous trees,0,0
Derelict Crab Trap List,Multiple,Unknown,Research,Global,,Y,derelict crab trap list,0,0.17
Derwent Estuary List,Inland,Unknown,Non-profit,Australia,,Y,derwent estuary list,0.36,0.56
Dumping Activities,Multiple,Unknown,Research,Global,,N,dumping activities,0.03,0
eXXpedition,Marine,Unknown,Research,Global,,Y,exxpedition,0.39,0.56
Fernandino,Marine,Water,Research,Brazil,https://paperpile.com/shared/oJOW8l,Y,fernandino,0,0.55
Fish Aggregating Devices,Multiple,Unknown,Research,Global,,Y,fish aggregating devices,0,0.17
Fullbright Vietnam Project,Multiple,Unknown,Non-profit,Vietnam,,Y,fulbright vietnam project,0.28,0.37
GA Sea Turtle Center,Marine,Unknown,Non-profit,,,Y,ga sea turtle center,0.47,0.5
Goal- Clean Seas Florida Keys,Marine,Unknown,Research,US,,Y,goal clean seas florida keys,0.46,0.56
Gracia,Marine,Sediment,Research,Colombia,https://paperpile.com/shared/8q5KYc,Y,gracia,0.03,0.44
ICC Data Card,Marine,Unknown,Research,Global,,Y,icc data card,0.35,0
JRC,Marine,Multiple,Government,Europe,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC83985/lb-na-26113-en-n.pdf,Y,jrc,0.49,0.5
Keep America Beautiful,Inland,Sediment,Non-profit,US,https://www.sciencedirect.com/science/article/abs/pii/S0140196312002625?via%3Dihub#appseca1,Y,keep america beautiful,0,0.44
Keep Tampa Bay Beautiful,Multiple,Unknown,Multiple,US,,Y,keep tampa bay beautiful,0.35,0.17
Lee,Marine,Water,Research,Korea,https://paperpile.com/shared/DEzmlI,Y,lee,0.04,0.49
Lets Do It World,Multiple,Unknown,Non-profit,Estonia,,Y,lets do it world,0.46,0.5
Marine Conservation Society,Marine,Multiple,Non-profit,UK,https://ars.els-cdn.com/content/image/1-s2.0-S0048969716325918-gr11.jpg,Y,marine conservation society,0.28,0.45
Marine Debris Items,Multiple,Unknown,Research,Global,,Y,marine debris items,0.46,0.56
Marine Debris List,Multiple,Unknown,Research,Global,,Y,marine debris list,0.01,0
Maryland Department of the Environment,Inland,Sediment,Government,US,https://doee.dc.gov/sites/default/files/dc/sites/ddoe/publication/attachments/Final_Anacostia_Trash_TMDL.pdf,Y,maryland department of the environment,0.14,0
McCormick,Inland,Water,Research,US,https://paperpile.com/shared/B0CJeq,Y,mccormick,0,0.26
Medical and Personal Hygiene,Multiple,Unknown,Research,Global,,Y,medical and personal hygiene,0.01,0
Microplastics,Multiple,Unknown,Research,Global,,Y,microplastics,0.03,0.27
Nat Geo Source to Sea Expedition List,Inland,Unknown,Research,Global,,Y,nat geo source to sea expedition list,0.34,0.5
Nelms,Marine,Sediment,Research,UK,https://www.sciencedirect.com/science/article/pii/S0048969716325918?via%3Dihub,Y,nelms,0.16,0.02
NOAA,Marine,Sediment,Government,US,https://drive.google.com/open?id=1fnq-5GOPWFkYc6dx3eOQECYmhTuvs3vb,Y,noaa,0.39,0.36
Ocean and Waterway Activities,Multiple,Unknown,Research,Global,,Y,ocean and waterway activities,0.06,0
Ocean Conservancy,Marine,Sediment,Non-profit,Global,https://oceanconservancy.org/wp-content/uploads/2017/04/OC-DataCards_volunteerFINAL_ENG.pdf,Y,ocean conservancy icc list,0.41,0.2
Ocean Conservancy ICC List,Marine,Unknown,Research,Global,,Y,ocean conservancy,0.39,0
Oigman,Marine,Sediment,Research,Brazil,https://paperpile.com/shared/DEzmlI,Y,oigman,0,0.45
Open Litter Map,Unknown,Unknown,Research,Global,,Y,open litter map,0.31,0
Open Ocean Hourly Observation,Unknown,Unknown,Unknown,,,N,open ocean hourly observations,0,0.17
OSPAR,Marine,Sediment,Government,Global,https://www.ospar.org/ospar-data/10-02e_beachlitter%20guideline_english%20only.pdf,Y,ospar,0.38,0.4
Our Ocean Youth Summit,Multiple,Unknown,Research,Norway,,Y,our ocean youth summit,0.01,0.17
Project AWARE,Marine,Water,Non-profit,Global,https://www.projectaware.org/sites/default/files/2017-06/569DT_DAD_Data_Card_v2_2_EN_formfields.pdf,Y,project aware,0.39,0.5
Rapid Trash Assessment,Inland,Water,Government,US,https://www.waterboards.ca.gov/sanfranciscobay/docs/swampthrashreport.pdf,Y,rapid trash assessment,0,0.49
Rech,Multiple,Sediment,Research,Chile,https://paperpile.com/shared/8q5KYc,Y,rech,0.01,0.6
Rozalia Project Long List,Marine,Unknown,Research,Global,,Y,rozalia project long list,0.41,0.56
Rozalia Project Short List,Marine,Unknown,Research,Global,,Y,rozalia project short list,0.31,0.56
Sarasota Dolphin Research Program Debris Team,Marine,Unknown,Research,US,,Y,sarasota dolphin research program debris team,0.45,0.56
SMC,Marine,Sediment,Research,US,http://checker.sccwrp.org/checker/scraper?action=help&layer=lu_debristypes,Y,smc,0.28,0.57
Sea Education Association,Marine,Unknown,Research,US,,Y,sea education association,0.45,0.56
SeaBin Data Collection,Marine,Unknown,Research,Global,,Y,seabin data collection,0.15,0.35
Shoreline and Recreational Activities,Multiple,Unknown,Research,Global,,N,shoreline and recreational activities,0.1,0
Site Assessment,Multiple,Unknown,Research,Global,,N,site assesment,0.06,0
Smoking Related Activities,Multiple,Unknown,Research,Global,,Y,smoking related activities,0.02,0
Sustainable Seas Trust,Multiple,Unknown,Non-profit,Africa,,Y,sustainable seas trust,0.45,0.56
Te Tai Tokerau Debris Monitoring Project,Marine,Unknown,Multiple,New Zealand,,Y,tetaitokerau debris monitoring project,0.44,0.54
The Ocean Race,Marine,Unknown,Unknown,Global,,Y,the ocean race,0.38,0.31
Tracking California's Trash,Inland,Sediment,Research,US,https://paperpile.com/shared/Hma3NY,Y,tracking california's trash,0.14,0
USVI Marine Debris for NOAA,Marine,Unknown,Research,US,,Y,usvi marine debris for noaa,0.45,0.56
van der Velde,Marine,Sediment,Research,Australia,https://paperpile.com/shared/B4Qrdy,Y,vandervelde,0.23,0.41
Vincent,Inland,Sediment,Research,US,https://paperpile.com/shared/Xln5zn%20%C2%A0,Y,vincent,0,0.17
Waste Receptacles,Multiple,Unknown,Research,Global,,N,waste receptacles,0,0
Williams,Inland,Sediment,Research,Netherlands,https://paperpile.com/shared/7Uw5Gd,Y,williams,0.12,0
Willis,Inland,Water,Research,Australia,https://paperpile.com/shared/RnZH1N,Y,willis,0,0.54
Zylstra,Inland,Sediment,Research,US,https://www.sciencedirect.com/science/article/abs/pii/S0140196312002625?via%3Dihub#appseca1,Y,zylstra,0.08,0
