source,density,polymer,alias
win_DB,1.1105,ABS,ABS
win_DB,0.922,LDPE,LDPE
win_DB,1.42,Acetal,Acetal
win_DB,1.06,AcrylicCyanoacrylate Adhesive,AcrylicCyanoacrylate Adhesive
win_DB,1.08,Acrylonitrile-Styrene-Acrylate ,Acrylonitrile-Styrene-Acrylate 
win_DB,0.31,Aramid,Aramid
win_DB,1.19,Cellulosic,Cellulosic
win_DB,1.72,ETFE-ECTFE,ETFE-ECTFE
win_DB,1.34,Epoxy,Epoxy
win_DB,0.942,Ethylene Methyl Acrylate,Ethylene Methyl Acrylate
win_DB,0.939,Ethylene Vinyl Acetate,Ethylene Vinyl Acetate
win_DB,0.953,HDPE,HDPE
win_DB,0.9505,Ionomer,Ionomer
win_DB,0.92,LLDPE,LLDPE
win_DB,1.65,Liquid Crystal Polymer,Liquid Crystal Polymer
win_DB,1.1,Nylon 11,Nylon 11
win_DB,1.03,Nylon 12,Nylon 12
win_DB,1.41,Nylon 46,Nylon 46
win_DB,1.3,Nylon 6,Nylon 6
win_DB,1.32,Nylon 6-66,Nylon 6-66
win_DB,1.25,Nylon 610,Nylon 610
win_DB,1.248,Nylon 612,Nylon 612
win_DB,1.33,Nylon 66,Nylon 66
win_DB,2.1475,PFA,PFA
win_DB,1.18,PMMA,PMMA
win_DB,1.43,Phenolic,Phenolic
win_DB,1.45,Polybutylene Terephthalate,Polybutylene Terephthalate
win_DB,1.4165,Polyetheretherketone,Polyetheretherketone
win_DB,1.36,Polyetherimide ,Polyetherimide 
win_DB,1.45,Polyethylene Terephthalate,Polyethylene Terephthalate
win_DB,1.42,"Polyimide, Thermoplastic","Polyimide, Thermoplastic"
win_DB,1.24,Polylactic Acid (PLA),Polylactic Acid (PLA)
win_DB,1.12,Polyphenylene EtherPPO,Polyphenylene EtherPPO
win_DB,1.61,Polyphenylene Sulfide (PPS),Polyphenylene Sulfide (PPS)
win_DB,1.49,Polyphthalamide (PPA),Polyphthalamide (PPA)
win_DB,1.32,Polysulfone,Polysulfone
win_DB,1.18,Rubber or Thermoset Elastomer,Rubber or Thermoset Elastomer
win_DB,1.15,Siloxane,Siloxane
win_DB,1.08,Styrene Acrylonitrile (SAN),Styrene Acrylonitrile (SAN)
win_DB,1.01,Styrene-Butadiene Thermoplastics,Styrene-Butadiene Thermoplastics
win_DB,1.02,Thermoplastic Elastomers,Thermoplastic Elastomers
win_DB,1.19,Thermoplastic Polyurethane,Thermoplastic Polyurethane
win_DB,1.82,Thermoset Fluoropolymer,Thermoset Fluoropolymer
win_DB,1.783,Thermoset Polyester,Thermoset Polyester
win_DB,1.42,Thermoset Polyimide,Thermoset Polyimide
win_DB,1.33,Vinyl (PVC),Vinyl (PVC)
win_DB,1.2,PC,PC
win_DB,1.05,Polystyrene,Polystyrene
win_DB,1,PP,PP
win_DB,1.05,PS,Polystyrene
win_DB,2.16,PTFE,PTFE
win_DB,1.78,PVDF,PVDF
win_DB,1.15,Silicone,Silicone
scraped_from_tax,0.905,"1,4-Polyisoprene(cisandtrans)(Latex)","1,4-Polyisoprene (cis and trans)(Latex)"
scraped_from_tax,1.18,Bisphenol-Adiglycidyletherepoxyresin,Bisphenol-A diglycidyl ether epoxy resin
scraped_from_tax,1.17,Bisphenol-Fdiglycidyletherepoxyresin,Bisphenol-F diglycidyl ether epoxy resin
scraped_from_tax,1.24,BisphenolAPolysulfone,Bisphenol A Polysulfone
scraped_from_tax,1.14,EthylCellulose,Ethyl Cellulose
scraped_from_tax,1.44,Kevlar-Polyaramide,Kevlar - Polyaramide
scraped_from_tax,1.33,MethylCellulose,Methyl Cellulose
scraped_from_tax,1.3,Cellulose Acetate,Cellulose Acetate
