alias,polymer_in_db,Material
"1,4-Polyisoprene (cis and trans)(Latex)",,"1,4-Polyisoprene(cisandtrans)(Latex)"
ABS,,ABS
Polyethersulfone,,ABS
Acrylonitrile butadiene styrene,,ABS
Acrylonitrile butadiene styrene (ABS),,ABS
Acrylic,,Acrylic
AR,,AR
toxic,,biohazard
biohazard,,biohazard
Bisphenol-A diglycidyl ether epoxy resin,,Bisphenol-Adiglycidyletherepoxyresin
Bisphenol-F diglycidyl ether epoxy resin,,Bisphenol-Fdiglycidyletherepoxyresin
Bisphenol A Polysulfone,,BisphenolAPolysulfone
CA,,CA
Cellulose acetate,,CA
Cellulose,,CA
Cellophane,,Cellophane
Cellulose Derivatives (Ether Cellulose),,CelluloseDerivatives(EtherCellulose)
Cellulose Nitrate,,CelluloseNitrate
pottery/ceramic,,ceramic
concrete/pottery,,ceramic
pottery/ceramics,,ceramic
ceramic,,ceramic
rag/cloth,,cloth
clothing,,cloth
cloth,,cloth
clothes/fabric,,cloth
textile,,cloth
fabric,,cloth
fabric/cloth,,cloth
naturalproducts/clothes,,cloth
cloth/fabric,,cloth
textiles,,cloth
textiles/naturalfibers,,cloth
cloth/textile,,cloth
clothmaterials,,cloth
concrete/asphalt,,concreteORasphalt
cotton,,cotton
EPDM rubber (ethylene propylene diene monomer rubber),,EPDMrubber(ethylenepropylenedienemonomerrubber)
ER,,ER
Epoxy resin,,ER
Ethyl Cellulose,,EthylCellulose
Ethylene-propylene,,Ethylene-propylene
animalfaeces,,faeces
faeces,,faeces
fibreglass,,fibreglass
foam,,foam
polystyrene,,foam
polystyrenefoam,,foam
styrofoam,,foam
styro.,,foam
foamedplastic,,foam
food,,food
glass,,glass
glass&ceramicmaterials,,glassORceramic
glass/ceramic,,glassORceramic
glass/ceramics,,glassORceramic
glass&ceramic,,glassORceramic
hardplastics,,hardplastics
Isobutylene-isoprene,,Isobutylene-isoprene
Kevlar - Polyaramide,,Kevlar-Polyaramide
LDPE,,LDPE
Low density polyethylene,,LDPE
leather,,leather
Melamine-formaldehyde,,Melamine-formaldehyde
metals,,metal
metalmaterials,,metal
metal,,metal
Methyl Cellulose,,MethylCellulose
Mineral,,Mineral
neoprene,,neoprene
Nomex - Poly(m-phenylene terephthalamide),,Nomex-Poly(m-phenyleneterephthalamide)
nonpolymeric,,nonpolymeric
Not Plastic,,NotPlastic
Nylon 10 - Poly(decano-10-lactam),,Nylon10-Poly(decano-10-lactam)
"Nylon 10,10 - Poly(decamethylene sebacamide)",,"Nylon10,10-Poly(decamethylenesebacamide)"
Nylon 11 - Poly(undecano-11-lactam),,Nylon11-Poly(undecano-11-lactam)
Nylon 12 - Poly(dodecano-12-lactam),,Nylon12-Poly(dodecano-12-lactam)
Nylon 3 - Poly(propiolactam),,Nylon3-Poly(propiolactam)
"Nylon 4,6 - Poly(tetramethylene adipamide)",,"Nylon4,6-Poly(tetramethyleneadipamide)"
Nylon 6 - Poly(caprolactam),,Nylon6-Poly(caprolactam)
"Nylon 6,10 - Poly(hexamethylene sebacamide)",,"Nylon6,10-Poly(hexamethylenesebacamide)"
"Nylon 6,12 - Poly(hexamethylene dodecanediamide)",,"Nylon6,12-Poly(hexamethylenedodecanediamide)"
"Nylon 6,6 - Poly(hexamethylene adipamide)",,"Nylon6,6-Poly(hexamethyleneadipamide)"
"Nylon 6,9 - Poly(hexamethylene azelamide)",,"Nylon6,9-Poly(hexamethyleneazelamide)"
Nylon 8 - Polycapryllactam,,Nylon8-Polycapryllactam
Olefin,,Olefin
biodegradable,,organic
organic,,organic
organics,,organic
organicitems,,organic
organic matter,,organic
Organic matter,,Organic
boat/ship/enginepart,,other
miscellaneous,,other
other,,other
others,,other
mixedmaterials,,other
otheritems,,other
cigarette,,other
otherplastic,,other
unidentified,,other
Other,,Other
Others,,Other
Other Material,,OtherMaterial
Other plastic,,Otherplastic
Other Plastic,,OtherPlastic
PA,,PA
Polyamide,,PA
Nylon,,PA
PA/nylon,,PA
PA;ER,,PA;ER
PA/Epoxy resin,,PA;ER
PAA,,PAA
Polyacrylic acid,,PAA
Poly(acrylic acid),,PAA
PAI,,PAI
poly(trimellitamideimide),,PAI
PAM,,PAM
Polyacrylamide,,PAM
Poly(acrylamide),,PAM
PAN,,PAN
Polyacrylonitrile,,PAN
Acrylonitrile,,PAN
Poly(acrylonitrile),,PAN
paper,,paper
paper/cardboardmaterials,,paperORcardboard
paper/cardboard,,paperORcardboard
paper/carton,,paperORcardboard
PBA,,PBA
phenylbutric acid,,PBA
PBT,,PBT
Polybutylene terephthalate,,PBT
Poly(butylene terephthalate),,PBT
PC,,PC
Polycarbonate,,PC
PDMS,,PDMS
Polydimethylsiloxane,,PDMS
Poly(dimethylsiloxane) (PDMS),,PDMS
PE,,PE
Polyethylene,,PE
